TIME,lat,lon,alt,eph,epv,vel,vn,ve,vd,cog,satellites_visible,id,yaw
1702378471879478,476414678,-1221401648,130506,10,10,2,-2,0,0,18368,15,0,0
1702378471900478,476414678,-1221401648,130506,10,10,2,-2,0,0,18428,15,0,0
1702378471921479,476414678,-1221401648,130505,10,10,2,-2,0,0,18486,15,0,0
1702378471942479,476414678,-1221401648,130505,10,10,2,-2,0,0,18542,15,0,0
1702378471963480,476414678,-1221401648,130505,10,10,2,-2,0,0,18596,15,0,0
1702378471984480,476414678,-1221401648,130505,10,10,2,-2,0,0,18651,15,0,0
1702378472005480,476414678,-1221401648,130505,10,10,2,-2,0,0,18709,15,0,0
1702378472026481,476414678,-1221401648,130505,10,10,2,-2,0,0,18771,15,0,0
1702378472047481,476414677,-1221401648,130505,10,10,2,-2,0,0,18837,15,0,0
1702378472068482,476414677,-1221401648,130505,10,10,2,-2,0,0,18908,15,0,0
1702378472089482,476414677,-1221401648,130505,10,10,2,-2,0,0,18986,15,0,0
1702378472110483,476414677,-1221401648,130504,10,10,2,-2,0,0,19071,15,0,0
1702378472131483,476414677,-1221401648,130504,10,10,2,-2,0,0,19163,15,0,0
1702378472152484,476414677,-1221401648,130504,10,10,2,-2,0,0,19262,15,0,0
1702378472173484,476414677,-1221401648,130504,10,10,2,-2,0,0,19368,15,0,0
1702378472194484,476414677,-1221401648,130504,10,10,2,-2,0,0,19480,15,0,0
1702378472215485,476414677,-1221401648,130504,10,10,2,-2,0,0,19596,15,0,0
1702378472236485,476414677,-1221401648,130504,10,10,2,-1,0,0,19717,15,0,0
1702378472257486,476414677,-1221401648,130504,10,10,2,-1,0,0,19843,15,0,0
1702378472278486,476414677,-1221401648,130503,10,10,1,-1,0,0,19975,15,0,0
1702378472299487,476414677,-1221401648,130503,10,10,1,-1,0,0,20113,15,0,0
1702378472320487,476414677,-1221401648,130503,10,10,1,-1,0,0,20259,15,0,0
1702378472341488,476414677,-1221401648,130503,10,10,1,-1,0,0,20414,15,0,0
1702378472362488,476414677,-1221401648,130503,10,10,1,-1,0,0,20578,15,0,0
1702378472383489,476414677,-1221401648,130503,10,10,1,-1,0,0,20751,15,0,0
1702378472404489,476414677,-1221401648,130503,10,10,1,-1,0,0,20934,15,0,0
1702378472425489,476414677,-1221401648,130503,10,10,1,-1,0,0,21124,15,0,0
1702378472446490,476414677,-1221401648,130502,10,10,1,-1,0,0,21324,15,0,0
1702378472467490,476414677,-1221401648,130502,10,10,1,-1,-1,0,21534,15,0,0
1702378472488491,476414677,-1221401648,130502,10,10,1,-1,-1,0,21753,15,0,0
1702378472509491,476414677,-1221401648,130502,10,10,1,-1,-1,0,21979,15,0,0
1702378472530492,476414677,-1221401648,130502,10,10,1,-1,-1,0,22213,15,0,0
1702378472551492,476414677,-1221401648,130502,10,10,1,-1,-1,0,22454,15,0,0
1702378472572493,476414677,-1221401648,130502,10,10,1,-1,-1,0,22701,15,0,0
1702378472593493,476414677,-1221401648,130502,10,10,1,-1,-1,0,22954,15,0,0
1702378472614493,476414677,-1221401648,130501,10,10,1,-1,-1,0,23212,15,0,0
1702378472635494,476414677,-1221401648,130501,10,10,1,0,-1,0,23470,15,0,0
1702378472656494,476414677,-1221401648,130501,10,10,1,0,-1,0,23727,15,0,0
1702378472677495,476414677,-1221401648,130501,10,10,1,0,-1,0,23981,15,0,0
1702378472698495,476414677,-1221401649,130501,10,10,1,0,-1,0,24225,15,0,0
1702378472719496,476414677,-1221401649,130501,10,10,1,0,-1,0,24461,15,0,0
1702378472740496,476414676,-1221401649,130501,10,10,1,0,-1,0,24688,15,0,0
1702378472761497,476414676,-1221401649,130501,10,10,1,0,-1,0,24905,15,0,0
1702378472782497,476414676,-1221401649,130501,10,10,1,0,-1,0,25113,15,0,0
1702378472803497,476414676,-1221401649,130501,10,10,1,0,-1,0,25313,15,0,0
1702378472824498,476414676,-1221401649,130500,10,10,1,0,-1,0,25508,15,0,0
1702378472845498,476414676,-1221401649,130500,10,10,1,0,-1,0,25697,15,0,0
1702378472866499,476414676,-1221401649,130500,10,10,1,0,-1,0,25881,15,0,0
1702378472887499,476414676,-1221401649,130500,10,10,1,0,-1,0,26058,15,0,0
1702378472908500,476414676,-1221401649,130500,10,10,2,0,-1,0,26227,15,0,0
1702378472929500,476414676,-1221401649,130500,10,10,2,0,-2,0,26389,15,0,0
1702378472950501,476414676,-1221401649,130500,10,10,2,0,-2,0,26543,15,0,0
1702378472971501,476414676,-1221401649,130500,10,10,2,0,-2,0,26690,15,0,0
1702378472992502,476414676,-1221401649,130500,10,10,2,0,-2,0,26830,15,0,0
1702378473013502,476414676,-1221401649,130500,10,10,2,0,-2,0,26963,15,0,0
1702378473034502,476414676,-1221401649,130500,10,10,2,0,-2,0,27090,15,0,0
1702378473055503,476414676,-1221401649,130500,10,10,2,0,-2,0,27212,15,0,0
1702378473076503,476414676,-1221401650,130500,10,10,2,0,-2,0,27327,15,0,0
1702378473097504,476414676,-1221401650,130500,10,10,2,0,-2,0,27435,15,0,0
1702378473118504,476414676,-1221401650,130500,10,10,2,0,-2,0,27537,15,0,0
1702378473139505,476414676,-1221401650,130500,10,10,2,0,-2,0,27636,15,0,0
1702378473160505,476414676,-1221401650,130500,10,10,2,0,-2,0,27733,15,0,0
1702378473181506,476414676,-1221401650,130500,10,10,2,0,-2,0,27827,15,0,0
1702378473202506,476414676,-1221401650,130500,10,10,2,0,-2,0,27920,15,0,0
1702378473223506,476414676,-1221401650,130500,10,10,2,0,-2,0,28012,15,0,0
1702378473244507,476414676,-1221401650,130500,10,10,2,0,-2,0,28101,15,0,0
1702378473265507,476414676,-1221401650,130500,10,10,2,0,-2,0,28190,15,0,0
1702378473286508,476414676,-1221401650,130500,10,10,2,0,-2,0,28279,15,0,0
1702378473307508,476414676,-1221401650,130500,10,10,2,0,-2,0,28368,15,0,0
1702378473328509,476414676,-1221401650,130500,10,10,2,0,-2,0,28455,15,0,0
1702378473349509,476414677,-1221401650,130500,10,10,2,0,-2,0,28542,15,0,0
1702378473370510,476414677,-1221401650,130500,10,10,2,0,-2,0,28628,15,0,0
1702378473391510,476414677,-1221401651,130500,10,10,2,0,-2,0,28712,15,0,0
1702378473412510,476414677,-1221401651,130500,10,10,2,0,-2,0,28793,15,0,0
1702378473433511,476414677,-1221401651,130500,10,10,2,0,-2,0,28873,15,0,0
1702378473454511,476414677,-1221401651,130500,10,10,2,0,-2,0,28949,15,0,0
1702378473475512,476414677,-1221401651,130500,10,10,2,0,-2,0,29022,15,0,0
1702378473496512,476414677,-1221401651,130501,10,10,2,1,-2,0,29090,15,0,0
1702378473517513,476414677,-1221401651,130501,10,10,2,1,-2,0,29154,15,0,0
1702378473538513,476414677,-1221401651,130501,10,10,2,1,-2,0,29215,15,0,0
1702378473559514,476414677,-1221401651,130501,10,10,2,1,-2,0,29276,15,0,0
1702378473580514,476414677,-1221401651,130501,10,10,2,1,-2,0,29337,15,0,0
1702378473601515,476414677,-1221401651,130501,10,10,2,1,-2,0,29399,15,0,0
1702378473622515,476414677,-1221401651,130501,10,10,2,1,-2,0,29464,15,0,0
1702378473643515,476414677,-1221401651,130501,10,10,2,1,-2,0,29533,15,0,0
1702378473664516,476414677,-1221401651,130501,10,10,2,1,-2,0,29606,15,0,0
1702378473685516,476414677,-1221401652,130501,10,10,2,1,-2,0,29682,15,0,0
1702378473706517,476414677,-1221401652,130501,10,10,2,1,-2,0,29760,15,0,0
1702378473727517,476414677,-1221401652,130502,10,10,2,1,-2,0,29840,15,0,0
1702378473748518,476414677,-1221401652,130502,10,10,2,1,-2,0,29924,15,0,0
1702378473769518,476414677,-1221401652,130502,10,10,2,1,-2,0,30011,15,0,0
1702378473790519,476414677,-1221401652,130502,10,10,2,1,-2,0,30101,15,0,0
1702378473811519,476414677,-1221401652,130502,10,10,2,1,-2,0,30195,15,0,0
1702378473832519,476414677,-1221401652,130502,10,10,2,1,-2,0,30293,15,0,0
